Table name,State,District,Area Name,Age-group,Birth place ,Total Persons,Total Males,Total Females,Rural Persons,Rural Males,Rural Females,Urban Persons,Urban Males,Urban Females
D0201A,07,000,State - NCT OF DELHI,All ages,NCT of Delhi,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,All ages,Rajasthan,"319,013","163,052","155,961","4,251","2,059","2,192","314,762","160,993","153,769"
D0201A,07,000,State - NCT OF DELHI,All ages,Uttar Pradesh,"2,904,861","1,552,457","1,352,404","51,213","25,606","25,607","2,853,648","1,526,851","1,326,797"
D0201A,07,000,State - NCT OF DELHI,All ages,Bihar,"1,147,717","688,458","459,259","29,666","17,211","12,455","1,118,051","671,247","446,804"
D0201A,07,000,State - NCT OF DELHI,All ages,Sikkim,748,345,403,14,8,6,734,337,397
D0201A,07,000,State - NCT OF DELHI,All ages,Arunachal Pradesh,920,452,468,15,5,10,905,447,458
D0201A,07,000,State - NCT OF DELHI,All ages,Nagaland,"1,552",791,761,17,10,7,"1,535",781,754
D0201A,07,000,State - NCT OF DELHI,All ages,Manipur,"6,268","3,126","3,142",21,13,8,"6,247","3,113","3,134"
D0201A,07,000,State - NCT OF DELHI,All ages,Mizoram,623,262,361,3,3,0,620,259,361
D0201A,07,000,State - NCT OF DELHI,All ages,Tripura,"1,445",783,662,13,6,7,"1,432",777,655
D0201A,07,000,State - NCT OF DELHI,All ages,Meghalaya,"2,038","1,009","1,029",8,5,3,"2,030","1,004","1,026"
D0201A,07,000,State - NCT OF DELHI,All ages,Assam,"24,474","12,324","12,150",358,171,187,"24,116","12,153","11,963"
D0201A,07,000,State - NCT OF DELHI,All ages,West Bengal,"190,146","95,310","94,836","3,776","1,861","1,915","186,370","93,449","92,921"
D0201A,07,000,State - NCT OF DELHI,All ages,Jharkhand,"73,038","38,433","34,605","1,313",692,621,"71,725","37,741","33,984"
D0201A,07,000,State - NCT OF DELHI,All ages,Odisha,"44,296","24,207","20,089",501,274,227,"43,795","23,933","19,862"
D0201A,07,000,State - NCT OF DELHI,All ages,Chhattisgarh,"12,893","6,129","6,764",243,116,127,"12,650","6,013","6,637"
D0201A,07,000,State - NCT OF DELHI,All ages,Madhya Pradesh,"137,694","68,749","68,945","4,492","2,256","2,236","133,202","66,493","66,709"
D0201A,07,000,State - NCT OF DELHI,All ages,Gujarat,"21,108","9,464","11,644",142,68,74,"20,966","9,396","11,570"
D0201A,07,000,State - NCT OF DELHI,All ages,Daman & Diu,19,9,10,0,0,0,19,9,10
D0201A,07,000,State - NCT OF DELHI,All ages,Dadra & Nagar Haveli,36,9,27,0,0,0,36,9,27
D0201A,07,000,State - NCT OF DELHI,All ages,Maharashtra,"54,887","23,578","31,309",739,325,414,"54,148","23,253","30,895"
D0201A,07,000,State - NCT OF DELHI,All ages,Andhra Pradesh,"23,109","11,255","11,854",134,59,75,"22,975","11,196","11,779"
D0201A,07,000,State - NCT OF DELHI,All ages,Karnataka,"12,538","5,953","6,585",54,23,31,"12,484","5,930","6,554"
D0201A,07,000,State - NCT OF DELHI,All ages,Goa,886,395,491,4,2,2,882,393,489
D0201A,07,000,State - NCT OF DELHI,All ages,Lakshadweep,101,57,44,23,13,10,78,44,34
D0201A,07,000,State - NCT OF DELHI,All ages,Kerala,"67,191","32,994","34,197",96,39,57,"67,095","32,955","34,140"
D0201A,07,000,State - NCT OF DELHI,All ages,Tamil Nadu,"46,895","23,607","23,288",97,50,47,"46,798","23,557","23,241"
D0201A,07,000,State - NCT OF DELHI,All ages,Puducherry,475,219,256,2,1,1,473,218,255
D0201A,07,000,State - NCT OF DELHI,All ages,Andaman & Nicobar Islands,416,213,203,12,6,6,404,207,197
D0201A,07,000,State - NCT OF DELHI,All ages,Born Outside India,"189,256","98,228","91,028","1,139",604,535,"188,117","97,624","90,493"
D0201A,07,000,State - NCT OF DELHI,All ages,Unclassifiable,"15,395","8,303","7,092",564,304,260,"14,831","7,999","6,832"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Total Population,"1,381,200","734,336","646,864","39,125","21,481","17,644","1,342,075","712,855","629,220"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Born within India,"1,378,296","732,783","645,513","39,073","21,455","17,618","1,339,223","711,328","627,895"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Within the state of enumeration,"1,261,705","670,844","590,861","36,312","19,925","16,387","1,225,393","650,919","574,474"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Born in the place of enumeration,"1,224,532","651,347","573,185","35,308","19,395","15,913","1,189,224","631,952","557,272"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Born elsewhere in the district of enumeration,"37,173","19,497","17,676","1,004",530,474,"36,169","18,967","17,202"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Born in other districts of the state,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,0-4 years,States in India beyond the state of enumeration,"116,591","61,939","54,652","2,761","1,530","1,231","113,830","60,409","53,421"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Jammu & Kashmir,621,343,278,8,4,4,613,339,274
D0201A,07,000,State - NCT OF DELHI,0-4 years,Himachal Pradesh,"1,098",596,502,11,7,4,"1,087",589,498
D0201A,07,000,State - NCT OF DELHI,0-4 years,Punjab,"2,163","1,143","1,020",23,15,8,"2,140","1,128","1,012"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Chandigarh,227,120,107,0,0,0,227,120,107
D0201A,07,000,State - NCT OF DELHI,0-4 years,Uttarakhand,"3,820","2,068","1,752",80,53,27,"3,740","2,015","1,725"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Haryana,"6,523","3,597","2,926",255,139,116,"6,268","3,458","2,810"
D0201A,07,000,State - NCT OF DELHI,0-4 years,NCT of Delhi,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,0-4 years,Rajasthan,"5,668","3,156","2,512",101,62,39,"5,567","3,094","2,473"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Uttar Pradesh,"46,434","24,506","21,928","1,089",596,493,"45,345","23,910","21,435"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Bihar,"29,637","15,712","13,925",852,464,388,"28,785","15,248","13,537"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Sikkim,12,8,4,1,1,0,11,7,4
D0201A,07,000,State - NCT OF DELHI,0-4 years,Arunachal Pradesh,19,8,11,0,0,0,19,8,11
D0201A,07,000,State - NCT OF DELHI,0-4 years,Nagaland,23,13,10,1,1,0,22,12,10
D0201A,07,000,State - NCT OF DELHI,0-4 years,Manipur,117,64,53,1,0,1,116,64,52
D0201A,07,000,State - NCT OF DELHI,0-4 years,Mizoram,8,4,4,0,0,0,8,4,4
D0201A,07,000,State - NCT OF DELHI,0-4 years,Tripura,34,15,19,0,0,0,34,15,19
D0201A,07,000,State - NCT OF DELHI,0-4 years,Meghalaya,21,12,9,0,0,0,21,12,9
D0201A,07,000,State - NCT OF DELHI,0-4 years,Assam,562,288,274,13,7,6,549,281,268
D0201A,07,000,State - NCT OF DELHI,0-4 years,West Bengal,"4,129","2,181","1,948",74,45,29,"4,055","2,136","1,919"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Jharkhand,"2,282","1,187","1,095",43,21,22,"2,239","1,166","1,073"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Odisha,"1,503",785,718,17,10,7,"1,486",775,711
D0201A,07,000,State - NCT OF DELHI,0-4 years,Chhattisgarh,475,228,247,4,3,1,471,225,246
D0201A,07,000,State - NCT OF DELHI,0-4 years,Madhya Pradesh,"3,847","2,039","1,808",154,82,72,"3,693","1,957","1,736"
D0201A,07,000,State - NCT OF DELHI,0-4 years,Gujarat,628,341,287,2,1,1,626,340,286
D0201A,07,000,State - NCT OF DELHI,0-4 years,Daman & Diu,3,2,1,0,0,0,3,2,1
D0201A,07,000,State - NCT OF DELHI,0-4 years,Dadra & Nagar Haveli,4,1,3,0,0,0,4,1,3
D0201A,07,000,State - NCT OF DELHI,0-4 years,Maharashtra,"2,020","1,073",947,20,14,6,"2,000","1,059",941
D0201A,07,000,State - NCT OF DELHI,0-4 years,Andhra Pradesh,997,532,465,3,1,2,994,531,463
D0201A,07,000,State - NCT OF DELHI,0-4 years,Karnataka,625,304,321,2,0,2,623,304,319
D0201A,07,000,State - NCT OF DELHI,0-4 years,Goa,28,22,6,0,0,0,28,22,6
D0201A,07,000,State - NCT OF DELHI,0-4 years,Lakshadweep,5,4,1,1,1,0,4,3,1
D0201A,07,000,State - NCT OF DELHI,0-4 years,Kerala,"1,843",954,889,1,0,1,"1,842",954,888
D0201A,07,000,State - NCT OF DELHI,0-4 years,Tamil Nadu,"1,181",616,565,5,3,2,"1,176",613,563
D0201A,07,000,State - NCT OF DELHI,0-4 years,Puducherry,25,11,14,0,0,0,25,11,14
D0201A,07,000,State - NCT OF DELHI,0-4 years,Andaman & Nicobar Islands,9,6,3,0,0,0,9,6,3
D0201A,07,000,State - NCT OF DELHI,0-4 years,Born Outside India,"1,760",955,805,11,5,6,"1,749",950,799
D0201A,07,000,State - NCT OF DELHI,0-4 years,Unclassifiable,"1,144",598,546,41,21,20,"1,103",577,526
D0201A,07,000,State - NCT OF DELHI,5-9 years,Total Population,"1,535,972","829,487","706,485","42,594","23,698","18,896","1,493,378","805,789","687,589"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Born within India,"1,532,095","827,476","704,619","42,487","23,642","18,845","1,489,608","803,834","685,774"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Within the state of enumeration,"1,338,496","720,983","617,513","37,219","20,696","16,523","1,301,277","700,287","600,990"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Born in the place of enumeration,"1,294,794","697,436","597,358","35,717","19,903","15,814","1,259,077","677,533","581,544"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Born elsewhere in the district of enumeration,"43,702","23,547","20,155","1,502",793,709,"42,200","22,754","19,446"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Born in other districts of the state,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,5-9 years,States in India beyond the state of enumeration,"193,599","106,493","87,106","5,268","2,946","2,322","188,331","103,547","84,784"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Jammu & Kashmir,861,482,379,5,3,2,856,479,377
D0201A,07,000,State - NCT OF DELHI,5-9 years,Himachal Pradesh,"1,728",948,780,34,22,12,"1,694",926,768
D0201A,07,000,State - NCT OF DELHI,5-9 years,Punjab,"3,113","1,750","1,363",43,29,14,"3,070","1,721","1,349"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Chandigarh,329,182,147,2,2,0,327,180,147
D0201A,07,000,State - NCT OF DELHI,5-9 years,Uttarakhand,"7,244","4,142","3,102",197,122,75,"7,047","4,020","3,027"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Haryana,"10,948","6,284","4,664",505,281,224,"10,443","6,003","4,440"
D0201A,07,000,State - NCT OF DELHI,5-9 years,NCT of Delhi,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,5-9 years,Rajasthan,"8,744","4,901","3,843",168,88,80,"8,576","4,813","3,763"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Uttar Pradesh,"79,613","43,669","35,944","1,999","1,118",881,"77,614","42,551","35,063"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Bihar,"53,166","29,309","23,857","1,734",973,761,"51,432","28,336","23,096"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Sikkim,12,5,7,1,0,1,11,5,6
D0201A,07,000,State - NCT OF DELHI,5-9 years,Arunachal Pradesh,35,13,22,1,0,1,34,13,21
D0201A,07,000,State - NCT OF DELHI,5-9 years,Nagaland,36,16,20,0,0,0,36,16,20
D0201A,07,000,State - NCT OF DELHI,5-9 years,Manipur,165,82,83,0,0,0,165,82,83
D0201A,07,000,State - NCT OF DELHI,5-9 years,Mizoram,35,15,20,0,0,0,35,15,20
D0201A,07,000,State - NCT OF DELHI,5-9 years,Tripura,37,25,12,0,0,0,37,25,12
D0201A,07,000,State - NCT OF DELHI,5-9 years,Meghalaya,42,27,15,0,0,0,42,27,15
D0201A,07,000,State - NCT OF DELHI,5-9 years,Assam,850,477,373,24,10,14,826,467,359
D0201A,07,000,State - NCT OF DELHI,5-9 years,West Bengal,"5,940","3,140","2,800",119,69,50,"5,821","3,071","2,750"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Jharkhand,"2,928","1,567","1,361",94,51,43,"2,834","1,516","1,318"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Odisha,"1,647",859,788,23,10,13,"1,624",849,775
D0201A,07,000,State - NCT OF DELHI,5-9 years,Chhattisgarh,485,244,241,2,1,1,483,243,240
D0201A,07,000,State - NCT OF DELHI,5-9 years,Madhya Pradesh,"5,625","3,106","2,519",218,122,96,"5,407","2,984","2,423"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Gujarat,889,495,394,6,2,4,883,493,390
D0201A,07,000,State - NCT OF DELHI,5-9 years,Daman & Diu,3,1,2,0,0,0,3,1,2
D0201A,07,000,State - NCT OF DELHI,5-9 years,Dadra & Nagar Haveli,5,2,3,0,0,0,5,2,3
D0201A,07,000,State - NCT OF DELHI,5-9 years,Maharashtra,"2,570","1,403","1,167",61,24,37,"2,509","1,379","1,130"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Andhra Pradesh,"1,287",676,611,14,8,6,"1,273",668,605
D0201A,07,000,State - NCT OF DELHI,5-9 years,Karnataka,703,356,347,4,2,2,699,354,345
D0201A,07,000,State - NCT OF DELHI,5-9 years,Goa,44,25,19,0,0,0,44,25,19
D0201A,07,000,State - NCT OF DELHI,5-9 years,Lakshadweep,18,11,7,5,4,1,13,7,6
D0201A,07,000,State - NCT OF DELHI,5-9 years,Kerala,"2,921","1,479","1,442",5,2,3,"2,916","1,477","1,439"
D0201A,07,000,State - NCT OF DELHI,5-9 years,Tamil Nadu,"1,512",769,743,2,2,0,"1,510",767,743
D0201A,07,000,State - NCT OF DELHI,5-9 years,Puducherry,35,19,16,0,0,0,35,19,16
D0201A,07,000,State - NCT OF DELHI,5-9 years,Andaman & Nicobar Islands,29,14,15,2,1,1,27,13,14
D0201A,07,000,State - NCT OF DELHI,5-9 years,Born Outside India,"2,114","1,108","1,006",16,6,10,"2,098","1,102",996
D0201A,07,000,State - NCT OF DELHI,5-9 years,Unclassifiable,"1,763",903,860,91,50,41,"1,672",853,819
D0201A,07,000,State - NCT OF DELHI,10-14 years,Total Population,"1,648,147","895,446","752,701","45,883","25,479","20,404","1,602,264","869,967","732,297"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Born within India,"1,643,451","892,870","750,581","45,695","25,385","20,310","1,597,756","867,485","730,271"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Within the state of enumeration,"1,387,337","747,533","639,804","38,984","21,597","17,387","1,348,353","725,936","622,417"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Born in the place of enumeration,"1,335,652","719,911","615,741","36,848","20,499","16,349","1,298,804","699,412","599,392"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Born elsewhere in the district of enumeration,"51,685","27,622","24,063","2,136","1,098","1,038","49,549","26,524","23,025"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Born in other districts of the state,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,10-14 years,States in India beyond the state of enumeration,"256,114","145,337","110,777","6,711","3,788","2,923","249,403","141,549","107,854"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Jammu & Kashmir,"1,105",611,494,8,6,2,"1,097",605,492
D0201A,07,000,State - NCT OF DELHI,10-14 years,Himachal Pradesh,"2,348","1,379",969,52,32,20,"2,296","1,347",949
D0201A,07,000,State - NCT OF DELHI,10-14 years,Punjab,"4,142","2,385","1,757",44,26,18,"4,098","2,359","1,739"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Chandigarh,337,187,150,4,2,2,333,185,148
D0201A,07,000,State - NCT OF DELHI,10-14 years,Uttarakhand,"9,345","5,367","3,978",282,168,114,"9,063","5,199","3,864"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Haryana,"16,622","9,650","6,972",761,453,308,"15,861","9,197","6,664"
D0201A,07,000,State - NCT OF DELHI,10-14 years,NCT of Delhi,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,10-14 years,Rajasthan,"11,878","6,710","5,168",229,129,100,"11,649","6,581","5,068"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Uttar Pradesh,"111,947","63,139","48,808","2,674","1,486","1,188","109,273","61,653","47,620"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Bihar,"66,316","38,550","27,766","2,004","1,118",886,"64,312","37,432","26,880"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Sikkim,19,7,12,1,0,1,18,7,11
D0201A,07,000,State - NCT OF DELHI,10-14 years,Arunachal Pradesh,58,35,23,1,1,0,57,34,23
D0201A,07,000,State - NCT OF DELHI,10-14 years,Nagaland,87,49,38,0,0,0,87,49,38
D0201A,07,000,State - NCT OF DELHI,10-14 years,Manipur,288,157,131,0,0,0,288,157,131
D0201A,07,000,State - NCT OF DELHI,10-14 years,Mizoram,50,32,18,1,1,0,49,31,18
D0201A,07,000,State - NCT OF DELHI,10-14 years,Tripura,61,38,23,1,1,0,60,37,23
D0201A,07,000,State - NCT OF DELHI,10-14 years,Meghalaya,78,44,34,0,0,0,78,44,34
D0201A,07,000,State - NCT OF DELHI,10-14 years,Assam,"1,074",586,488,22,9,13,"1,052",577,475
D0201A,07,000,State - NCT OF DELHI,10-14 years,West Bengal,"7,225","3,851","3,374",115,66,49,"7,110","3,785","3,325"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Jharkhand,"3,229","1,758","1,471",101,60,41,"3,128","1,698","1,430"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Odisha,"1,509",827,682,24,20,4,"1,485",807,678
D0201A,07,000,State - NCT OF DELHI,10-14 years,Chhattisgarh,549,303,246,11,4,7,538,299,239
D0201A,07,000,State - NCT OF DELHI,10-14 years,Madhya Pradesh,"6,510","3,615","2,895",256,143,113,"6,254","3,472","2,782"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Gujarat,"1,001",568,433,7,7,0,994,561,433
D0201A,07,000,State - NCT OF DELHI,10-14 years,Daman & Diu,3,1,2,0,0,0,3,1,2
D0201A,07,000,State - NCT OF DELHI,10-14 years,Dadra & Nagar Haveli,4,1,3,0,0,0,4,1,3
D0201A,07,000,State - NCT OF DELHI,10-14 years,Maharashtra,"2,788","1,549","1,239",78,38,40,"2,710","1,511","1,199"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Andhra Pradesh,"1,322",683,639,16,9,7,"1,306",674,632
D0201A,07,000,State - NCT OF DELHI,10-14 years,Karnataka,695,380,315,6,4,2,689,376,313
D0201A,07,000,State - NCT OF DELHI,10-14 years,Goa,71,32,39,0,0,0,71,32,39
D0201A,07,000,State - NCT OF DELHI,10-14 years,Lakshadweep,13,7,6,5,2,3,8,5,3
D0201A,07,000,State - NCT OF DELHI,10-14 years,Kerala,"3,558","1,857","1,701",5,1,4,"3,553","1,856","1,697"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Tamil Nadu,"1,826",950,876,2,1,1,"1,824",949,875
D0201A,07,000,State - NCT OF DELHI,10-14 years,Puducherry,28,9,19,0,0,0,28,9,19
D0201A,07,000,State - NCT OF DELHI,10-14 years,Andaman & Nicobar Islands,28,20,8,1,1,0,27,19,8
D0201A,07,000,State - NCT OF DELHI,10-14 years,Born Outside India,"2,480","1,361","1,119",25,13,12,"2,455","1,348","1,107"
D0201A,07,000,State - NCT OF DELHI,10-14 years,Unclassifiable,"2,216","1,215","1,001",163,81,82,"2,053","1,134",919
D0201A,07,000,State - NCT OF DELHI,15-24 years,Total Population,"3,431,435","1,876,529","1,554,906","88,774","48,721","40,053","3,342,661","1,827,808","1,514,853"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Born within India,"3,418,064","1,868,972","1,549,092","88,489","48,551","39,938","3,329,575","1,820,421","1,509,154"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Within the state of enumeration,"2,443,365","1,326,282","1,117,083","63,297","36,707","26,590","2,380,068","1,289,575","1,090,493"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Born in the place of enumeration,"2,334,978","1,272,865","1,062,113","58,672","34,935","23,737","2,276,306","1,237,930","1,038,376"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Born elsewhere in the district of enumeration,"108,387","53,417","54,970","4,625","1,772","2,853","103,762","51,645","52,117"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Born in other districts of the state,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,15-24 years,States in India beyond the state of enumeration,"974,699","542,690","432,009","25,192","11,844","13,348","949,507","530,846","418,661"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Jammu & Kashmir,"3,693","2,035","1,658",36,16,20,"3,657","2,019","1,638"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Himachal Pradesh,"8,112","4,485","3,627",116,61,55,"7,996","4,424","3,572"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Punjab,"17,657","8,724","8,933",183,83,100,"17,474","8,641","8,833"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Chandigarh,"1,009",449,560,15,6,9,994,443,551
D0201A,07,000,State - NCT OF DELHI,15-24 years,Uttarakhand,"36,147","19,668","16,479",971,533,438,"35,176","19,135","16,041"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Haryana,"76,972","32,344","44,628","5,469","1,061","4,408","71,503","31,283","40,220"
D0201A,07,000,State - NCT OF DELHI,15-24 years,NCT of Delhi,0,0,0,0,0,0,0,0,0
D0201A,07,000,State - NCT OF DELHI,15-24 years,Rajasthan,"41,415","21,584","19,831",771,354,417,"40,644","21,230","19,414"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Uttar Pradesh,"456,651","255,106","201,545","9,618","5,032","4,586","447,033","250,074","196,959"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Bihar,"221,451","141,682","79,769","5,886","3,621","2,265","215,565","138,061","77,504"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Sikkim,149,69,80,2,1,1,147,68,79
D0201A,07,000,State - NCT OF DELHI,15-24 years,Arunachal Pradesh,252,128,124,8,2,6,244,126,118
D0201A,07,000,State - NCT OF DELHI,15-24 years,Nagaland,398,212,186,2,1,1,396,211,185
D0201A,07,000,State - NCT OF DELHI,15-24 years,Manipur,"1,899",979,920,11,7,4,"1,888",972,916
D0201A,07,000,State - NCT OF DELHI,15-24 years,Mizoram,167,72,95,2,2,0,165,70,95
D0201A,07,000,State - NCT OF DELHI,15-24 years,Tripura,190,108,82,2,1,1,188,107,81
D0201A,07,000,State - NCT OF DELHI,15-24 years,Meghalaya,328,177,151,5,2,3,323,175,148
D0201A,07,000,State - NCT OF DELHI,15-24 years,Assam,"4,742","2,420","2,322",76,37,39,"4,666","2,383","2,283"
D0201A,07,000,State - NCT OF DELHI,15-24 years,West Bengal,"31,188","16,139","15,049",634,339,295,"30,554","15,800","14,754"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Jharkhand,"14,184","7,186","6,998",245,139,106,"13,939","7,047","6,892"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Odisha,"5,745","2,983","2,762",78,41,37,"5,667","2,942","2,725"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Chhattisgarh,"2,235","1,097","1,138",54,32,22,"2,181","1,065","1,116"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Madhya Pradesh,"21,718","11,479","10,239",851,399,452,"20,867","11,080","9,787"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Gujarat,"2,881","1,332","1,549",30,16,14,"2,851","1,316","1,535"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Daman & Diu,5,3,2,0,0,0,5,3,2
D0201A,07,000,State - NCT OF DELHI,15-24 years,Dadra & Nagar Haveli,10,4,6,0,0,0,10,4,6
D0201A,07,000,State - NCT OF DELHI,15-24 years,Maharashtra,"7,534","3,491","4,043",97,46,51,"7,437","3,445","3,992"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Andhra Pradesh,"2,923","1,410","1,513",3,1,2,"2,920","1,409","1,511"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Karnataka,"1,552",732,820,8,3,5,"1,544",729,815
D0201A,07,000,State - NCT OF DELHI,15-24 years,Goa,148,64,84,0,0,0,148,64,84
D0201A,07,000,State - NCT OF DELHI,15-24 years,Lakshadweep,2,1,1,0,0,0,2,1,1
D0201A,07,000,State - NCT OF DELHI,15-24 years,Kerala,"7,602","3,501","4,101",9,2,7,"7,593","3,499","4,094"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Tamil Nadu,"5,599","2,955","2,644",9,6,3,"5,590","2,949","2,641"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Puducherry,74,39,35,0,0,0,74,39,35
D0201A,07,000,State - NCT OF DELHI,15-24 years,Andaman & Nicobar Islands,67,32,35,1,0,1,66,32,34
D0201A,07,000,State - NCT OF DELHI,15-24 years,Born Outside India,"9,322","5,061","4,261",148,82,66,"9,174","4,979","4,195"
D0201A,07,000,State - NCT OF DELHI,15-24 years,Unclassifiable,"4,049","2,496","1,553",137,88,49,"3,912","2,408","1,504"
D0201A,07,000,State - NCT OF DELHI,25-34 years,Total Population,"3,103,025","1,635,651","1,467,374","73,083","38,015","35,068","3,029,942","1,597,636","1,432,306"
